"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatotLevenshtein record1Value","[0] RestaurantNameComparatotLevenshtein record2Value","[0] RestaurantNameComparatotLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatotLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatotLevenshtein similarity","[0] RestaurantNameComparatotLevenshtein postproccesedSimilarity","[1] RestaurantAddressComparatorLevenshtein record1Value","[1] RestaurantAddressComparatorLevenshtein record2Value","[1] RestaurantAddressComparatorLevenshtein record1PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein record2PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein similarity","[1] RestaurantAddressComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","zomato_7490","yelp_635","0.22334928229665074",,"cara mia","stella 34 trattoria","cara mia","stella 34 trattoria","0.26315789473684215","0.26315789473684215","654 9th avenue","macy 6th floor 35th broadway entrance 151 w 34th street","654 9th avenue","macy 6th floor 35th broadway entrance 151 w 34th street","0.1636363636363637","0.1636363636363637"
"LinearCombinationMatchingRule","zomato_85","yelp_2440","0.1428571428571429",,"reservoir","range","reservoir","range","0.11111111111111116","0.11111111111111116","844 w montrose avenue","1119 w webster","844 w montrose avenue","1119 w webster","0.19047619047619047","0.19047619047619047"
"LinearCombinationMatchingRule","zomato_2713","yelp_1871","0.11571906354515046",,"swork","la pergoletta","swork","la pergoletta","0.07692307692307687","0.07692307692307687","2160 colorado boulevard","1802 hillhurst avenue","2160 colorado boulevard","1802 hillhurst avenue","0.17391304347826086","0.17391304347826086"
"LinearCombinationMatchingRule","zomato_3350","yelp_1932","0.18321678321678325",,"wexler deli","humble potato","wexler deli","humble potato","0.15384615384615385","0.15384615384615385","317 broadway","8321 lincoln boulevard","317 broadway","8321 lincoln boulevard","0.2272727272727273","0.2272727272727273"
"LinearCombinationMatchingRule","zomato_2713","yelp_1870","0.14156521739130434",,"swork","rocco italian market deli","swork","rocco italian market deli","0.12","0.12","2160 colorado boulevard","1761 n vermont","2160 colorado boulevard","1761 n vermont","0.17391304347826086","0.17391304347826086"
"LinearCombinationMatchingRule","zomato_4258","yelp_1440","0.1786561264822134",,"flores","stone grill","flores","stone grill","0.18181818181818177","0.18181818181818177","2024 sawtelle boulevard","703 vermont avenue","2024 sawtelle boulevard","703 vermont avenue","0.17391304347826086","0.17391304347826086"
"LinearCombinationMatchingRule","zomato_954","yelp_2180","0.1956043956043956",,"stax cafe","legno chicago","stax cafe","legno chicago","0.23076923076923073","0.23076923076923073","1401 w taylor street","4250 n central avenue","1401 w taylor street","4250 n central avenue","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_7351","yelp_513","0.13856209150326798",,"heartland brewery chophouse","thai","heartland brewery chophouse","thai","0.07407407407407407","0.07407407407407407","127 w 43rd street","1411 2nd avenue","127 w 43rd street","1411 2nd avenue","0.23529411764705888","0.23529411764705888"
"LinearCombinationMatchingRule","zomato_6191","yelp_741","0.3700404858299595",,"caffe palermo","rattle n hum","caffe palermo","rattle n hum","0.23076923076923073","0.23076923076923073","148 mulberry street","14 e 33rd street","148 mulberry street","14 e 33rd street","0.5789473684210527","0.5789473684210527"
"LinearCombinationMatchingRule","zomato_3274","yelp_1850","0.4209150326797385",,"verve coffee roasters juice served","eastside market","verve coffee roasters juice served","eastside market","0.2941176470588235","0.2941176470588235","833 spring street","1013 alpine street","833 spring street","1013 alpine street","0.6111111111111112","0.6111111111111112"
"LinearCombinationMatchingRule","zomato_7371","yelp_534","0.20714285714285716",,"hummus place","malaparte","hummus place","malaparte","0.25","0.25","305 amsterdam avenue","753 washington street","305 amsterdam avenue","753 washington street","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_4156","yelp_1318","0.15956521739130436",,"aroma","original pantry cafe","aroma","original pantry cafe","0.15000000000000002","0.15000000000000002","2903 w sunset boulevard","877 figueroa street","2903 w sunset boulevard","877 figueroa street","0.17391304347826086","0.17391304347826086"
